skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Frost Nova	44	sor	frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold			24	20																			1	8	12	1	1																		9	radius of freeze	3	additional radius/level									5	freeze synergy	3	damage synergy	1								8															cold	4	4	5	6	8	8	8	4	5	6	8	8	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*(par8*(1+stat('cold_multi'.accr)))	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Ice Blast	45	sor	ice blast		10												iceblast	iceblast																																																											sorceress_cast_cold											ice_cast_2				18					iceblast												1	7		none												SC	SC	SC																	1			4			sorceress_cast_cold			18	25													1						1	8	16	1	1										0	dmg%							75	Duration of freeze	25	additional duration/level									3	freeze synergy	6	damage synergy	1								8															cold	15	15	20	25	30	30	30	15	20	25	30	30	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*(par8*(1+stat('cold_multi'.accr)))	75	5	5	5	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Blaze	46	sor	blaze		23												blaze	blaze	blaze			blaze		dm12																																																					sorceress_cast_fire											fire_cast_2								blaze	sfirewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1									1	30																			1	7	22	1	1																		50	Min Frames	500	Max Frames											7	damage synergy	1								3															fire	6	6	12	18	24	24	12	6	12	18	24	24	(skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Nova'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Fire Ball	47	sor	fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	SC																	1						sorceress_cast_fire			12	25													1						1	7	10	1	1																																6	damage synergy	1								8															fire	12	12	16	20	24	24	24	12	16	20	24	24	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Nova	48	sor	nova		22												nova	nova	nova																																																										sorceress_cast_fire											fire_cast_2				25					nova												1	2		none												SC	SC	SC																	36	10					sorceress_cast_lightning			24	20													1						1	8	15	1	1																		12	number of missiles	4	additional missiles per level											3	damage synergy	1								8															fire	5	5	6	7	8	8	10	5	6	7	8	8	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Lightning	49	sor	lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SC	SC	SC																	1						sorceress_cast_lightning			6	30													1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									7	damage synergy	1								8															ltng	1	0	0	0	0	0	45	15	30	45	60	60	(skill('Charged Bolt'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Shiver Armor	50	sor	shiver armor		18																	shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	passive_fire_pierce	blvl	item_absorbfire_percent	skill('Aerial Shield'.blvl)/2							attackedinmelee	3																																						sorceress_cast_fire				sorceress_shiverarmor							fire_cast_2	shiverarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3		1	30								1											1	7	22	1	1	1																	20	% AC base	7	% AC per level	3000	Duration	300	Duration per level					250	duration synergy	10	ac synergy	1								8															fire	3	3	6	9	12	12	6	3	6	9	12	12										100
Fire Wall	51	sor	fire wall		139												fire wave maker	fire wave maker																																																											sorceress_cast_fire											fire_cast_2				81					fire wave maker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire			18	25												20-((stat('cooldownrate'.accr)*2)/10)	1						1	6	72	3	1																																7	damage synergy	1								8															fire	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Nova'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Enchant	52	sor	enchant		68												enchantcast					enchant	enchant	ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																														sorceress_enchant															25					enchantcast												1	9		none												SC	SC	A1				1													1						sorceress_enchant			6	30								1											1	8	50	2	1	1																	3600	duration	500	duration per level											5	damage synergy	1	20	9						8															fire	8	2	4	7	11	11	10	2	4	7	11	11	(skill('Thunder Storm'.blvl)+skill('Fanatic Swing'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Chain Lightning	53	sor	chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC																	151	96					sorceress_cast_lightning			30	20													1						1	8	9	1	1										ln34 / par5	# hits	5						20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					5	damage synergy	1								8															ltng	1	0	0	0	0	0	40	24	32	40	48	48	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Teleport	54	sor	teleport		27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx																	1		1	2			sorceress_teleport	teleport		1	30								1				stat('item_telecooldownadjust'.accr)	1						1	5	80	-1	1	1																																	1								8																																					100
Glacial Spike	55	sor	glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold			12	25													1						1	7	20	1	1																		5	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	6	damage synergy	1								8															cold	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*(par8*(1+stat('cold_multi'.accr)))									100
Meteor	56	sor	meteor		28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2		18	25												20-((stat('cooldownrate'.accr)*2)/10)							1	8	17	1	1										18	radius							12	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level							8	damage synergy	1								8															fire	26	26	52	78	78	90	52	26	52	78	78	90	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Thunder Storm'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Thunder Storm	57	sor	thunder storm	13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast											fire_cast_2					84				thunderstorm1												1	5		none												SC	SC	SC																	1									30	20																			1	8	19	1	1	1		1	(100-dm56)*par4/100+par3														800	duration	200	additional duration/level	1	minimum repeat time	1	repeat time factor	0	min % repeat time	0	max % repeat time	17	radius	12	damage synergy	1								8															fire	18	18	24	30	36	36	36	18	24	30	36	36	(skill('Meteor'.blvl)+skill('Fire Ball'.blvl)+skill('Fire Bolt'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Energy Shield	58	sor	energy shield		23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																	1									18	25								1											1	8	5	0	1	1									min(edmn,95)	damage absorption	max(75,par5-blvl*par7-(skill('Telekinesis'.blvl)+skill('Teleport'.blvl)+skill('Static Field'.blvl))*par8)*4/25	ratio					3600	duration	1500	additional duration/level					225	mana consumption %			4	self mana consumption synergy	3	mana consumption synergy	1								8																25	3	2	1	1	0																100
Blizzard	59	sor	blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		18	25												20-((stat('cooldownrate'.accr)*2)/10)	1						1	8	23	1	1										par1	radius	par3	frequency					14	radius			1	Missile delay	0	Change duration in Missiles.xls					5	freeze synergy	7	damage synergy	1								8															cold	18	18	24	30	42	42	36	18	24	30	42	42	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*(par8*(1+stat('cold_multi'.accr)))	100				(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Chilling Armor	60	sor	chilling armor		18																	chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	passive_cold_pierce	blvl	item_absorbcold_percent	skill('Aerial Shield'.blvl)/2							attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	chillarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3		1	30								1											1	7	22	1	1	1																	20	% AC base	7	% AC per level	3000	Duration	300	Duration per level					250	duration synergy	10	ac synergy	1								7															cold	5	5	10	15	20	20	10	5	10	15	20	20		100	25	25	25					100
Fire Mastery	61	sor	fire mastery																																											firemastery		passive_fire_mastery	(blvl<1)?(ln12):(ln12+56)																																																												1	3		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												4	% Damage bonus	4	% Damage bonus per level													1								8																																					100
Hydra	62	sor	hydra	14	144																																											passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)									hydra4	hydra	99	S2	HydraMissile	lvl											1	sorceress_cast_fire											light_cast_1			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		24	20												20-((stat('cooldownrate'.accr)*2)/10)							1	7	40	1	1																		250	duration	5	additional duration/level									5	duration synergy	6	damage synergy	1								7															ltng	15	15	20	25	30	30	30	15	20	25	30	30	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Chain Lightning'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery		passive_ltng_mastery	(blvl<1)?(ln12):(ln12+56)																																																												1	5		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												4	% Damage bonus	4	% Damage bonus per level													1								8																																					100
Frozen Orb	64	sor	frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SC	SC	SC																	1						sorceress_cast_cold			30	20												20-((stat('cooldownrate'.accr)*2)/10)	1						1	8	21	1	1																														5	freeze synergy	6	damage synergy	1								8															cold	22	14	18	22	26	26	33	14	18	22	26	26	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*(par8*(1+stat('cold_multi'.accr)))	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*par7				100
Cold Mastery	65	sor	cold mastery																																											coldmastery		passive_cold_mastery	(blvl<1)?(ln12):(ln12+56)																																																												1	3		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												4	% Damage bonus	4	% Damage bonus per level													1								8																																					100
Amplify Damage	66	nec	amplify damage		30																3		amplifydamage	ln34+((skill('Iron Maiden'.blvl)+skill('Life Tap'.blvl)+skill('Decrepify'.blvl))*par7)	ln12	damageresist	-par5																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast			6	30								1											1	8	4	0	1																		3	radius	1	radius per level	200	duration	75	additional duration/level	80	% additional damage taken			25	duration synergy	1		1								8																																					100
Teeth	67	nec	teeth		8												teeth																																																												necromancer_bone_cast														19	17					teeth	teeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast			30	20												20-((stat('cooldownrate'.accr)*2)/10)	1						1	7	64	3	1										min(ln12/2,40)	# missiles	par3	activation frame					30	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									5	damage synergy	1								0															mag	18	18	24	30	36	36	36	18	24	30	36	36	((100+(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl)+skill('Hells Gate'.blvl))*(par8*(1+stat('magic_multi'.accr))))*(100+stat('passive_mag2_mastery'.accr))/100)*256									100
Bone Armor	68	nec	bone armor		18																	bonearmor				bonearmor	edmn*256*(100+clc4)/100	bonearmormax	edmn*256*(100+clc4)/100	armorclass	edmn*(100+clc4)/100							absorbdamage	22																																						necromancer_bonearmor																																1	3		none												SC	SC	xx																	1						necromancer_bonearmor			1	30								1											1	7	22	3	1	1															(skill('Poison Dagger'.blvl)+skill('Killer Scythe'.blvl))*par7+(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8	synergy	100	damage absorbed	25	additional absorbed/level							5	fhr synergy	8	absorb/def synergy	5	absorb/def synergy	1								8																16	8	16	24	32	32																100
Skeleton Mastery	69	nec	skeleton mastery																																											skel_mastery																																																															1	0		none												SC	SC	xx																										1	30																			0	8	0	0	1						1												16	additional hit points/level	10	additional damage per level	5	hp% per level for revive	100	dmg% per level for revive	15	additional defense per level	25	additional AR per level					1								8																																					100
