skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Blessed Aim	108	pal	blessed aim		65																		73731	blessedaim	blessedaim		"min(ln12,30)"	item_crushingblow	"min(par3+lvl*par4+skill('Might'.blvl)*par8,63)"	attackrate	dm56															penetrate																																																																																1	1	6		none														xx																														1	30								1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	2	% chance of crushing blow	2	% additional crushing blow/level	1	min% boost	60	max% boost			2	crushing blow synergy									1								8																																					8000	0
Cleansing	109	pal	cleansing		65																		73731	cleansing	cleansing		"min(ln12,30)"	item_poisonlengthresist	dm34	curse_resistance	dm34																																																																																																1	3		none														xx																														12	25					Prayer			1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	30	min % reduction	100	max % reduction	0	?	0	?			1	reduce length synergy									1								8																																					8000	0
Resist Lightning	110	pal	resist lightning		65																		73731	resistlight	resistlight		"min(ln12,30)"	item_absorblight_percent	"min(ln34+skill('Salvation'.blvl)*par8,40)"	maxlightresist	skill('Resist Lightning'.blvl)	damageresist	ln34-5	passive_ltng_mastery	ln56											passive_resistltng			maxlightresist	skill('Resist Lightning'.blvl)/2																																																																												1	1	6		none														xx																														1	30								1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	10	abs% and DR%(-5)	1	abs% and DR%/lvl	3	elem dmg bonus	3	elem dmg bonus / lvl			1	absorb synergy									1								8																																					8000	0
Vengeance	111	pal	vengeance	6	11													vengeance	vengeance	vengeance																																																																										paladin_sacrifice															19						vengeance	vengeance	vengeance										1	4		h2h		mele										A1	A1	xx				1		1	1								1															18	25					Crucify									1	1					1	8	4	0	1											1	# missiles					min(85,49+lvl)																				10	Damage synergy									1								8	64																												50	10	10	10		4		384	10000	0
Blessed Hammer	112	pal	blessed hammer		73													blessedhammer																																																																												paladin_holybolt_cast															35						blessedhammer												1	2		none												SC	SC	xx																	1			1							paladin_holybolt_cast			18	25					Holy Bolt									1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)													6	Damage synergy									1								8															mag	11	11	22	44	88	88	22	11	22	44	88	88	(100+(skill('Holy Bolt'.blvl)+skill('Sanctuary'.blvl)+skill('Fist of the Heavens'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100								640	16000	0
Concentration	113	pal	concentration		65																		73731	concentration	concentration		"min(ln12,30)"	damagepercent	ln34+(skill('Might'.blvl)+skill('Charge'.blvl)+skill('Blessed Aim'.blvl))*par8	skill_concentration	ln56																																																																																															1	1	6		none														xx																														18	25					Blessed Aim			1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	50	% additional damage	10	% additional damage/level	20	percent chance that attack will not be interrupted	3	percent chance that attack will not be interrupted per level			5	damage synergy									1								8																																					16000	0
Holy Freeze	114	pal	holy freeze		81																		303747	holywind	holywindcold		"min(ln12,30)"	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																coldmindam	enms*par5/2000	coldmaxdam	exms*par5/2000																																																																											1	8		none														xx																														18	25					Holy Fire			1						0	1					0	8	0	0	1	1	1		50-lvl/3																			6	radius	1	additional radius per level	25	min% slowing	60	max% slowing	3	damage to attack multiplier	0	slowing synergy			6	damage synergy									1				16385				8															cold	5	5	15	25	25	25	25	15	25	35	35	35	(skill('Resist Cold'.blvl)*2+skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par8									16000	0
Vigor	115	pal	vigor		65																		73731	stamina	stamina		"min(ln12,30)"	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56	item_maxhp_percent	ln78+skill('Prayer'.blvl)+skill('Cleansing'.blvl)	item_magicbonus	min(255,stat('stamina'.accr)*lvl/300000)	item_goldbonus	min(255,stat('stamina'.accr)*lvl/300000)																																																																																							1	1	1		none														xx																														18	25					Cleansing	Defiance		1						0	1					0	8	0	0	1	1	1		50																			16	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	0	min % speed increase	90	max % speed increase	10	hp bonus	3	hp bonus/lvl									1								8																																					16000	0
Crucify	116	pal	crucify	6	11													crucify	crucify	crucify																																																																										paladin_sacrifice															19						crucify	crucify	crucify										1	8		h2h		scep										A1	A1	A1				1		1	1								1															12	20					Zeal									1	1					1	7	6	1	1											3+lvl/5+skill('Judgement'.blvl)/5	# of targets																									5	damage synergy									1								8	51														fire	1	1	2	5	5	5	2	2	5	10	10	10	(100+(skill('Judgement'.blvl)+skill('Zeal'.blvl)+skill('Vengeance'.blvl))*par8)*(100+stat('strength'.accr))/100-100						4			64000	0
Holy Shield	117	pal	holy shield		18																			holyshield		ln12		toblock	dm56	damageresist	skill('Defiance'.blvl)*2	fireresist	skill('Salvation'.blvl)*3	coldresist	skill('Salvation'.blvl)*3	lightresist	skill('Salvation'.blvl)*3	magicresist	skill('Sanctuary'.blvl)							ironskin			skill_armor_percent	20+lvl*15																																												paladin_holyshield																																	1	3		none												SC	SC	xx															1															18	25					Charge									0	1					1	8	35	0	1	1																						750	duration of shield	625	duration/level	20	AC bonus	10	AC bonus per level	10	min % ToBlock Add	40	max % ToBlockAdd	10	smite damage synergy	15	armor synergy									1								8		3	3	6	8	10	10	6	3	6	8	10	10	skill('Smite'.blvl)*par7																							32000	0
Holy Shock	118	pal	holy shock		66																		42883	holyshock			"min(ln12,30)"																						lightmindam	1	lightmaxdam	exms*par5/2000																																																																											1	4		none														xx																														24	25					Holy Freeze			1						0	1					0	8	0	0	1	1	1		50-lvl/3																			6	radius	1	additional radius per level					3	damage to attack multiplier	0	?			6	damage synergy									1				16385				8															ltng	1	0	0	0	0	0	60	50	70	70	70	70	(skill('Resist Lightning'.blvl)*2+skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par8									32000	0
Sanctuary	119	pal	sanctuary		66																		59266	sanctuary			"min(ln12,30)"																						item_undeaddamage_percent	ln34+(skill('Might'.blvl)+skill('Fanaticism'.blvl))*par7	item_demondamage_percent	ln34+(skill('Might'.blvl)+skill('Fanaticism'.blvl))*par7																																																					cast_undead										sanctuarybolt												1	0		none														xx																				1										1	30								1						0	1					1	8	1	0	1	1	1		50-lvl/3								16259											3	radius	1	additional radius per level	20	% damage to undead	20	% damage per level	25	att vs. undead	25	att vs. undead per level	5	melee damage synergy	6	magic damage synergy									1				11		157		8															mag	5	5	15	25	25	25	25	15	25	35	35	35	(100+(skill('Cleansing'.blvl)+skill('Holy Bolt'.blvl)+skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									32000	0
Meditation	120	pal	meditation		65																		73729	meditation	meditation		"min(ln12,30)"	manarecoverybonus	ln34+skill('Redemption'.blvl)*par7	item_fastercastrate	ln78																																																																																																1	7		none														xx																														24	20					Cleansing			1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	300	% boost to mana recovery	25	% additional boost/level	0	?	0	?	20	fcr, mana rgn synergy	4	fcr/lvl									1								8																																					32000	0
Fist of the Heavens	121	pal	fist of the heavens		80													fistoftheheavensdelay				handofgod					20																																																																			paladin_handofgod_cast															36						fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1					1			4							30	20					Blessed Hammer	Judgement						25		1	1					1	8	25	0	1											ln34	min heal	ln56	max heal	(skill('Holy Bolt'.blvl)+skill('Holy Shock'.blvl)+skill('Blessed Hammer'.blvl))*par8	holy boly synergy	ln12						6	holy bolts to release	1	holy bolts per level	1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	2	hitpoints healed per level			5	damage synergy									1								8															ltng	150	60	80	100	120	120	200	60	80	100	120	120	(skill('Holy Bolt'.blvl)+skill('Holy Shock'.blvl)+skill('Blessed Hammer'.blvl))*par8									64000	0
Fanaticism	122	pal	fanaticism		65																		73731	fanaticism	fanaticism		"min(ln12,30)"	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56*5/6+(skill('Zeal'.blvl)+skill('Judgement'.blvl)+skill('Sacred Piercer'.blvl)+skill('Arrow of Confession'.blvl))*par8																																																																																													1	1	8		none														A1																														30	20					Might			1						0	1					0	8	0	0	1	1	1		50																			13	radius	1	additional radius per level	10	min% boost	40	max% boost	42	% damage boost	12	% damage bonus per level			4	damage synergy									1	40	5						8																																					64000	0
Conviction	123	pal	conviction		66																		42371	conviction	conviction		"min(ln12,30)"	skill_armor_percent	-dm56	fireresist	"-((blvl<1)?(lvl+19):(skill('Holy Fire'.blvl)+lvl+34))"	coldresist	"-((blvl<1)?(lvl+19):(skill('Holy Freeze'.blvl)+lvl+34))"	lightresist	"-((blvl<1)?(lvl+19):(skill('Holy Shock'.blvl)+lvl+34))"																																																																																												1	6		none														xx	5		1																											30	20					Holy Shock			1						0	1					0	8	0	0	1	1	1		50																			20	radius	1	additional radius per level	1	% resist reduction	1	% resist reduction per level	26	% resist reduction	51	% resist reduction per level	40	min % AC reduction	80	max % AC reduction									1								8																																					64000	0
Redemption	124	pal	redemption		82																		4354	redemption			"min(ln12,30)"																																																																																								redemption												1	0		none														xx																														30	20					Vigor			1						0	1					0	8	0	0	1	1	1		50							dm34	chance to redeem	ln56+(skill('Prayer'.blvl)*par8)	hp gain	ln56+(skill('Meditation'.blvl)*par7)	mana gain							16	radius	0	additional radius per level	10	min % chance redeem	100	max % chance redeem	30	HP and mana gained	10	HP and mana gained/level	10	mana gain synergy	10	hp gain synergy									1								8																																					64000	0
Salvation	125	pal	salvation		65																		73731	resistall	resistall		"min(ln12,30)"	fireresist	dm34+skill('Resist Fire'.blvl)*par8	coldresist	dm34+skill('Resist Cold'.blvl)*par8	lightresist	dm34+skill('Resist Lightning'.blvl)*par8																																																																																													1	1	8		none														xx																														30	20								1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	0	min % resist	120	max % resist							2	resist synergy									1								8																																					64000	0
Bash	126	bar	bash	6	11													obliterate	obliterate	obliterate																																																																											barbarian_grunt_small_1	1													19						obliterate	obliterate	obliterate										1	7		h2h		mele										A1	A1	A1				1		1	1								1					1										18	25					Concentrate									1	1					1	6	16	1	1											1	# of missiles											180	Damage % base	35	Damage % per level	0	Min Damage	0	Min Damager per level	5	rocks	4	1 rock per x levels	20	hit synergy	10	damage synergy									1			20+lvl*20+(skill('Stun'.blvl)+skill('Concentrate'.blvl))*par7					8	32																																				1000	0
Sword Mastery	127	bar	sword mastery																																											swordmastery	mele		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																									1	0		none		mele										SC	SC	SC				1																										1	30														0	0					0	8	0	0	1		1						1															30	Attack % base	12	Attack % per level	30	Damage % base	6	damage % per level	0	critical%	30	critical%													1								8																																					1000	0
Axe Mastery	128	bar	axe mastery	6	11													thunderlightningmain	thunderlightningmain	thunderlightningmain																																																																																									19						thunderlightningmain	thunderlightningmain	thunderlightningmain										1	4		h2h		mele										A1	A1	xx				1		1	1								1															1	30														1	1					1	7	4	1	1											1+((lvl > 49) ? 2 : (lvl > 29) : 1 : 0)	# of missiles					85																				7	damage synergy									1								8	25														ltng	2						4	4	6	8	10	12	(skill('Mace Mastery'.blvl)+skill('SNova'.blvl)+skill('Pole Arm Mastery'.blvl)+skill('SThunder Storm Bar'.blvl))*par8									1000	0
Mace Mastery	129	bar	mace mastery												ancientscall																																																																																barbarian_command_1										light_cast_1									ancientscall													1	4		none												SC	SC	SC				1	4				1											1							sorceress_cast_lightning	light_cast_1		18	25					SNova									1	1					1	8	10	1	1																																					6	damage synergy									1								8															ltng	2						25	25	30	35	40	45	(skill('Sword Mastery'.blvl)+skill('Axe Mastery'.blvl)+skill('SNova'.blvl)+skill('Pole Arm Mastery'.blvl)+skill('SThunder Storm Bar'.blvl))*par8									1000	0
Howl	130	bar	howl		22													howl							terror																																																																						barbarian_howl_1														25						howl				ln12-par1	Missile Velocity Adder							1	0		none												SC	SC	xx				1																1										1	30								1						0	1					1	8	4	0	1											par1*(lvl-1)+(skill('Taunt'.blvl)+skill('War Cry'.blvl))*par8)	velocity adder											2	Velocity/level increase	1	Plev+Slev+n	35	Distance to retreat	5	Distance per level	150	Time to retreat	50	Time per level			1	velocity synergy									1								8																																					1000	0
Find Potion	131	bar	find potion	34	72																																																																																								1		barbarian_findobject_1							barbarian_findheart_1						28	40																		1	0		h2h												SC	SC	xx				1				1		4	1																			18	25								1						0	1					1	8	7	0	1											dm12	chance											5	min chance to find heart	100	max chance to find heart	100	% chance high quality	100	% chance magic item							0	chance synergy									1								8																																					3000	0
